estrategia,presupuesto_k,pen_capturado_mensual,aceptaciones_capturadas,tasa_conversion_pct,ticket_promedio_pen
B0_Azar,1000,38882.3,461,46.1,84.34
B0_Azar,2500,102660.1,1170,46.8,87.74
B0_Azar,5000,201849.1,2300,46.0,87.76
B0_Azar,7500,300561.9,3450,46.0,87.12
B0_Azar,10000,403967.2,4613,46.13,87.57
B0_Azar,15000,608882.7,6886,45.91,88.42
B0_Azar,20000,807211.7,9151,45.76,88.21
B0_Azar,30000,1209639.9,13756,45.85,87.94
B0_Azar,41306,1667279.4,18862,45.66,88.39
B1_Popularidad_Global,1000,148501.8,782,78.2,189.9
B1_Popularidad_Global,2500,333778.9,1911,76.44,174.66
B1_Popularidad_Global,5000,683216.9,3631,72.62,188.16
B1_Popularidad_Global,7500,816789.8,4702,62.69,173.71
B1_Popularidad_Global,10000,854626.0,5762,57.62,148.32
B1_Popularidad_Global,15000,1000779.0,7875,52.5,127.08
B1_Popularidad_Global,20000,1150001.6,9997,49.98,115.03
B1_Popularidad_Global,30000,1333778.5,14097,46.99,94.61
B1_Popularidad_Global,41306,1667279.4,18862,45.66,88.39
B2_Regla_Negocio,1000,176103.4,766,76.6,229.9
B2_Regla_Negocio,2500,404080.7,1893,75.72,213.46
B2_Regla_Negocio,5000,660665.5,3618,72.36,182.61
B2_Regla_Negocio,7500,727601.8,4638,61.84,156.88
B2_Regla_Negocio,10000,795913.9,5700,57.0,139.63
B2_Regla_Negocio,15000,932166.2,7766,51.77,120.03
B2_Regla_Negocio,20000,1070170.6,9841,49.2,108.75
B2_Regla_Negocio,30000,1345128.0,14024,46.75,95.92
B2_Regla_Negocio,41306,1667279.4,18862,45.66,88.39
B3_Popularidad_Celda,1000,128394.3,757,75.7,169.61
B3_Popularidad_Celda,2500,365929.2,1908,76.32,191.79
B3_Popularidad_Celda,5000,671558.3,3617,72.34,185.67
B3_Popularidad_Celda,7500,772466.8,4694,62.59,164.56
B3_Popularidad_Celda,10000,825323.3,5720,57.2,144.29
B3_Popularidad_Celda,15000,940059.6,7818,52.12,120.24
B3_Popularidad_Celda,20000,1084630.9,9966,49.83,108.83
B3_Popularidad_Celda,30000,1364112.3,14139,47.13,96.48
B3_Popularidad_Celda,41306,1667279.4,18862,45.66,88.39
M1_Probabilidad_Pura,1000,150709.5,805,80.5,187.22
M1_Probabilidad_Pura,2500,376372.1,1979,79.16,190.18
M1_Probabilidad_Pura,5000,661139.3,3630,72.6,182.13
M1_Probabilidad_Pura,7500,730558.6,4736,63.15,154.26
M1_Probabilidad_Pura,10000,804794.8,5846,58.46,137.67
M1_Probabilidad_Pura,15000,961105.3,8050,53.67,119.39
M1_Probabilidad_Pura,20000,1111896.1,10243,51.21,108.55
M1_Probabilidad_Pura,30000,1387969.4,14480,48.27,95.85
M1_Probabilidad_Pura,41306,1667279.4,18862,45.66,88.39
M2_Valor_Esperado_EV (LGB),1000,181850.9,791,79.1,229.9
M2_Valor_Esperado_EV (LGB),2500,415084.4,1956,78.24,212.21
M2_Valor_Esperado_EV (LGB),5000,684016.4,3636,72.72,188.12
M2_Valor_Esperado_EV (LGB),7500,842207.4,4726,63.01,178.21
M2_Valor_Esperado_EV (LGB),10000,972159.9,5801,58.01,167.58
M2_Valor_Esperado_EV (LGB),15000,1187882.4,7911,52.74,150.16
M2_Valor_Esperado_EV (LGB),20000,1364469.5,9983,49.91,136.68
M2_Valor_Esperado_EV (LGB),30000,1570440.1,14106,47.02,111.33
M2_Valor_Esperado_EV (LGB),41306,1667279.4,18862,45.66,88.39
M2_Valor_Esperado_EV (LR),1000,183000.4,796,79.6,229.9
M2_Valor_Esperado_EV (LR),2500,414335.3,1947,77.88,212.81
M2_Valor_Esperado_EV (LR),5000,686095.1,3649,72.98,188.02
M2_Valor_Esperado_EV (LR),7500,840868.4,4716,62.88,178.3
M2_Valor_Esperado_EV (LR),10000,972289.2,5808,58.08,167.41
M2_Valor_Esperado_EV (LR),15000,1185763.6,7892,52.61,150.25
M2_Valor_Esperado_EV (LR),20000,1365898.3,9998,49.99,136.62
M2_Valor_Esperado_EV (LR),30000,1570834.3,14115,47.05,111.29
M2_Valor_Esperado_EV (LR),41306,1667279.4,18862,45.66,88.39
